Reference, Value, Footprint, Datasheet, Vend1, Vend1Id, RefPrice1k, MfrId, MfgId, Description
C76,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
U14,TCR2EF12,TO_SOT_Packages_SMD:SOT-23-5,http://www.semicon.toshiba.co.jp/info/docget.jsp?pid=TCR2EE10&lang=en&type=datasheet,Digikey,TCR2EF12LM(CTCT-ND,0.07110,Toshiba,TCR2EF12.LM(CT,LDO 1.2V 200mA
C75,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
C74,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
U13,TCR2EF25,TO_SOT_Packages_SMD:SOT-23-5,http://www.semicon.toshiba.co.jp/info/docget.jsp?pid=TCR2EE10&lang=en&type=datasheet,Digikey,TCR2EF25LM(CTCT-ND,0.07110,Toshiba,TCR2EF25.LM(CT,LDO 2.5V 200mA
U15,Si5351B,Housings_DFN_QFN:QFN-20-1EP_4x4mm_Pitch0.5mm,http://www.silabs.com/Support%20Documents/TechnicalDocs/Si5351-B.pdf,Digikey,336-2401-5-ND,2.01798,SI5351B-B-GM,Silicon Labs,
R35,2.2k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT2K20CT-ND,0.0032,Stackpole,RMCF0805JT2K20CT,
X1,25.0000 MHz 15ppm 8pF,Crystals:crystal_FA238-TSX3225,http://www.ndk.com/images/products/catalog/c_NX3225SA-STD-CSR-3_e.pdf,Digikey,644-1267-1-ND,0.4187,NX3225SA-25.000M-STD-CSR-3,NDK,
R34,2.2k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT2K20CT-ND,0.0032,Stackpole,RMCF0805JT2K20CT,
R36,10k,Resistors_SMD:R_0805,http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Digikey,RMCF0805JT10K0CT-ND,0.0032,Stackpole,RMCF0805JT10K0,
C78,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
C80,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
C79,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
CON4,PLT133,TOSLINK:Everlight-PLT133-T6A,http://www.everlight.com/file/ProductFile/201407061806576799.pdf,Digikey,1080-1428-ND,0.37125,PLT133/T,Everlight,
C81,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
CON3,PLR135,TOSLINK:Everlight-PLR135-T8,http://www.everlight.com/file/ProductFile/PLR135-T10.pdf,Digikey,1080-1433-ND,0.73054,PLR135/T10,Everlight,
C82,0.1uF,Capacitors_SMD:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71H104MA01%23.pdf,Digikey,490-9672-2-ND,0.01880,Murata,GRM21BR71H104MA01L,
FB7,Ferrite bead,Resistors_SMD:R_0805,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/bead/__icsFiles/afieldfile/2014/11/13&fileName=S_CIS21J121NE.pdf,Digikey,1276-6370-1-ND,0.02383,Samsung,CIS21P300NE,
C83,1uF ,Capacitors_SMD:C_0805,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,Digikey,490-10743-2-ND,0.03980,Murata,GRM219R61H105KA73D,
